Código Departamento,Código Municipio,Código Centro Poblado,Nombre Departamento,Nombre Municipio,Nombre Centro Poblado,Tipo,enable
5,5001,5001000,ANTIOQUIA,MEDELLÍN,MEDELLÍN,CM,0
5,5001,5001001,ANTIOQUIA,MEDELLÍN,PALMITAS,C,0
5,5001,5001004,ANTIOQUIA,MEDELLÍN,SANTA ELENA,C,0
5,5001,5001005,ANTIOQUIA,MEDELLÍN,PEDREGAL ALTO,IPM,0
5,5001,5001009,ANTIOQUIA,MEDELLÍN,ALTAVISTA,C,0
5,5001,5001010,ANTIOQUIA,MEDELLÍN,AGUAS FRÍAS,CP,0
5,5001,5001012,ANTIOQUIA,MEDELLÍN,LA LOMA,CP,0
5,5001,5001013,ANTIOQUIA,MEDELLÍN,SAN JOSÉ DEL MANZANILLO,CP,0
5,5001,5001014,ANTIOQUIA,MEDELLÍN,BARRO BLANCO,CP,0
5,5001,5001015,ANTIOQUIA,MEDELLÍN,EL CERRO,CP,0
5,5001,5001017,ANTIOQUIA,MEDELLÍN,EL PATIO,CP,0
5,5001,5001018,ANTIOQUIA,MEDELLÍN,EL PLACER,CP,0
5,5001,5001019,ANTIOQUIA,MEDELLÍN,EL PLAN,CP,0
5,5001,5001020,ANTIOQUIA,MEDELLÍN,EL TESORO,CP,0
5,5001,5001022,ANTIOQUIA,MEDELLÍN,LA ALDEA,CP,0
5,5001,5001023,ANTIOQUIA,MEDELLÍN,LA CUCHILLA,CP,0
5,5001,5001024,ANTIOQUIA,MEDELLÍN,LA FLORIDA,CP,0
5,5001,5001025,ANTIOQUIA,MEDELLÍN,LA PALMA,CP,0
5,5001,5001027,ANTIOQUIA,MEDELLÍN,LAS PLAYAS,CP,0
5,5001,5001029,ANTIOQUIA,MEDELLÍN,PIEDRA GORDA,CP,0
5,5001,5001031,ANTIOQUIA,MEDELLÍN,POTRERITO,CP,0
5,5001,5001032,ANTIOQUIA,MEDELLÍN,TRAVESIAS,CP,0
5,5001,5001033,ANTIOQUIA,MEDELLÍN,URQUITA,CP,0
5,5001,5001034,ANTIOQUIA,MEDELLÍN,BARRIOS DE JESÚS,CP,0
5,5001,5001035,ANTIOQUIA,MEDELLÍN,BOQUERÓN,CP,0
5,5001,5001036,ANTIOQUIA,MEDELLÍN,CHACALTAYA,CP,0
5,5001,5001037,ANTIOQUIA,MEDELLÍN,EL CORAZÓN,CP,0
5,5001,5001038,ANTIOQUIA,MEDELLÍN,EL JARDÍN,CP,0
5,5001,5001039,ANTIOQUIA,MEDELLÍN,EL LLANO 1,CP,0
5,5001,5001040,ANTIOQUIA,MEDELLÍN,EL LLANO 2,CP,0
5,5001,5001041,ANTIOQUIA,MEDELLÍN,EL UVITO,CP,0
5,5001,5001042,ANTIOQUIA,MEDELLÍN,LA AVANZADA,CP,0
5,5001,5001043,ANTIOQUIA,MEDELLÍN,LA CRUZ,CP,0
5,5001,5001044,ANTIOQUIA,MEDELLÍN,LA ESPERANZA,CP,0
5,5001,5001045,ANTIOQUIA,MEDELLÍN,LA FRISOLA,CP,0
5,5001,5001046,ANTIOQUIA,MEDELLÍN,LA GABRIELA,CP,0
5,5001,5001047,ANTIOQUIA,MEDELLÍN,LA LADERA,CP,0
5,5001,5001048,ANTIOQUIA,MEDELLÍN,LA VERDE,CP,0
5,5001,5001049,ANTIOQUIA,MEDELLÍN,LA VOLCANA,CP,0
5,5001,5001050,ANTIOQUIA,MEDELLÍN,LOS NARANJOS,CP,0
5,5001,5001051,ANTIOQUIA,MEDELLÍN,LLANADITAS,CP,0
5,5001,5001052,ANTIOQUIA,MEDELLÍN,MATASANO,CP,0
5,5001,5001053,ANTIOQUIA,MEDELLÍN,MATASANO 1,CP,0
5,5001,5001054,ANTIOQUIA,MEDELLÍN,MATASANO 2,CP,0
5,5001,5001055,ANTIOQUIA,MEDELLÍN,MAZO,CP,0
5,5001,5001056,ANTIOQUIA,MEDELLÍN,MAZO 1,CP,0
5,5001,5001057,ANTIOQUIA,MEDELLÍN,MEDIA LUNA,CP,0
5,5001,5001058,ANTIOQUIA,MEDELLÍN,MEDIA LUNA 1,CP,0
5,5001,5001059,ANTIOQUIA,MEDELLÍN,MIRADOR DEL POBLADO,CP,0
5,5001,5001060,ANTIOQUIA,MEDELLÍN,OCHO DE MARZO,CP,0
5,5001,5001061,ANTIOQUIA,MEDELLÍN,ORIENTE,CP,0
5,5001,5001062,ANTIOQUIA,MEDELLÍN,POTRERA MISERENGA,CP,0
5,5001,5001063,ANTIOQUIA,MEDELLÍN,SAN JOSÉ DE LA MONTAÑA,CP,0
5,5001,5001064,ANTIOQUIA,MEDELLÍN,VERSALLES,CP,0
5,5001,5001065,ANTIOQUIA,MEDELLÍN,YOLOMBO,CP,0
5,5002,5002000,ANTIOQUIA,ABEJORRAL,ABEJORRAL,CM,0
5,5002,5002001,ANTIOQUIA,ABEJORRAL,CHAGUALAL,CAS,0
5,5002,5002002,ANTIOQUIA,ABEJORRAL,PANTANILLO,C,0
5,5002,5002006,ANTIOQUIA,ABEJORRAL,PURIMA,CAS,0
5,5002,5002007,ANTIOQUIA,ABEJORRAL,PORTUGAL,CAS,0
5,5002,5002010,ANTIOQUIA,ABEJORRAL,EL CAIRO,CAS,0
